바하,90,189
바사,59,144
타바,97,155
아하,87,179
나바,56,188
하아,86,156
카마,78,150
바자,98,150
파파,63,193
파사,57,182
사나,45,196
아파,74,183
자파,61,142
사나,76,175
가마,76,187
바가,81,194
다마,42,184
다나,81,184
자사,69,183
바라,51,194
카자,67,140
하가,78,180
차가,56,142
파마,54,189
사아,56,187
마다,53,150
바차,53,150
자카,80,164
타마,40,173
카파,77,179
타나,40,180
하나,73,194
차파,91,161
아파,42,157
나타,83,169
나파,72,147
가사,76,156
하가,72,180
라바,97,147
카바,60,157
마사,93,178
카카,76,159
다다,94,185
아타,75,186
나자,94,179
차타,89,192
가가,99,186
하하,60,146
가다,66,157
차파,41,154
마가,92,186
차다,83,189
아바,82,182
라자,52,160
사라,40,181
파아,70,155
바라,99,155
파나,69,190
다가,58,162
가다,92,146
가가,78,162
라파,66,144
가아,52,186
다아,74,194
라나,46,186
라사,42,166
카가,92,191
타타,95,192
나아,61,140
차자,67,146
가아,53,161
바라,45,163
바파,69,174
다파,41,199
라파,64,166
하라,55,184
사타,62,148
자가,66,188
자마,54,159
하사,72,155
마파,45,141
카하,64,148
바마,74,188
타나,65,164
사타,50,140
사자,78,172
하카,71,195
하마,48,164
마파,95,190
라카,85,174
바하,76,165
가파,65,166
바차,61,197
카카,54,160
가카,55,148
나하,91,171
하자,94,172
카라,46,151
파가,55,190
바마,71,195
카다,55,184
나하,55,171
사자,68,162
사다,49,197
다아,80,188
마바,97,167
아바,92,195
파하,77,161
카하,64,157
아나,66,198
라가,98,141
나라,84,189
자아,69,147
자바,73,152
타자,70,149
차자,69,175
마나,44,159
아하,54,197
하라,83,191
바아,74,176
차차,78,150
차카,99,197
아아,64,184
라자,90,160
사나,88,177
파타,94,167
파하,96,155
바아,78,196
마차,75,168
파타,74,176
자파,74,187
사라,74,194
자다,85,143
나타,45,171
타차,49,147
타다,92,169
파마,88,196
나차,73,164
나타,46,175
나차,47,183
타자,91,142
라자,76,168
타하,87,180
아아,99,159
아사,55,188
아다,54,146
다가,71,150
카마,57,189
사사,67,173
사아,85,151
다하,46,154
마파,45,141
다타,61,199
나카,45,177
파나,69,185
바파,94,198
파바,57,176
아나,64,161
라아,41,195
바가,83,149
차자,59,160
타사,48,151
가하,78,153
바파,77,151
나타,81,153
마자,93,164
바아,52,196
나타,62,178
마타,81,185
라카,93,143
카라,65,167
마차,95,199
가타,74,157
파마,94,144
차자,79,185
라가,51,198
카다,80,152
마바,98,192
다마,90,163
타사,42,142
나라,41,160
가나,47,163
파하,88,150
차사,68,163
타가,76,177
마하,57,173
바사,42,189
하바,94,159
자차,75,148
바마,65,151
타사,62,182
다마,76,161
아라,94,150
사바,40,192
바타,72,156
아마,79,180
마카,91,149
사자,72,181
나파,92,198
하아,50,199
자라,96,143
나사,69,140
바자,87,177
타가,44,180
나다,55,193
자타,40,142
파나,84,176
파파,76,145
카차,64,199
차사,61,180
아다,90,178
카나,87,171
라자,65,147
가파,64,142
다라,60,155
차파,93,143
파사,94,145
사자,79,166
자타,92,183
사사,59,199
차가,62,192
파아,84,181
마자,46,188
바하,63,143
아아,71,143
마바,80,191
자카,65,159
타하,94,148
차마,50,145
가아,49,190
사자,78,175
카마,55,143
라라,86,148
마아,63,179
하파,53,196
차마,71,174
다자,91,182
하바,77,147
라아,51,196
다차,91,190
라아,70,152
카하,87,152
마타,50,155
하차,77,162
마파,67,172
사카,63,180
자바,48,178
자파,99,165
바파,47,145
타카,89,152
바카,84,153
파자,48,176
카카,42,146
파가,59,166
차차,54,159
다하,70,140
하타,73,185
하자,43,162
라타,58,164
다라,80,168
타파,51,175
타타,99,198
다바,42,157
차라,81,188
사라,58,161
파아,55,162
타자,53,143
카하,91,193
바타,73,173
마다,94,186
라자,85,173
마차,40,161
가아,60,183
파마,79,145
라바,54,150
가나,45,165
파아,83,182
카자,66,152
다바,56,156
아타,73,144
차카,74,188
다다,77,142
사파,93,188
나가,52,189
파자,79,160
아가,48,198
다카,98,187
마다,73,181
자사,93,186
하타,60,183
아바,44,154
차타,76,188
사사,94,152
마카,91,195
타차,97,190
나카,60,158
사사,41,142
가마,51,152
라마,51,182
바나,40,157
사타,70,187
바차,99,148
카차,69,197
아사,80,166
라다,95,178
하가,57,148
다사,98,154
다마,46,195
아아,83,144
라바,53,189
다가,83,169
자파,74,161
하사,71,154
마아,75,187
타차,65,167
차사,77,185
파나,93,152
파파,97,174
마차,57,194
카나,41,168
바자,63,148
차바,54,165
아파,84,157
자아,42,167
하카,66,184
아마,51,193
자타,99,186
가나,74,151
가사,65,165
다차,46,198
카마,51,158
아자,79,192
바가,69,188
파다,50,186
자자,81,144
아라,70,153
아라,97,140
마하,69,161
아가,94,184
다자,72,162
하사,73,146
가자,79,142
파타,41,198
다타,81,176
라파,85,142
가카,59,185
다카,95,187
라나,66,168
다아,83,153
나하,52,172
타차,89,182
마나,56,151
라카,77,186
타마,79,141
사라,52,168
다파,47,150
가가,43,162
카사,60,160
바타,59,171
아자,40,155
마차,89,159
카나,57,147
가카,44,199
카사,98,187
가카,86,190
타자,42,154
하하,87,147
라카,53,150
가타,73,158
자마,80,184
바아,67,186
자마,97,149
타아,76,190
마자,60,154
아카,52,145
마가,55,155
다파,57,144
타바,50,196
라나,47,153
카아,81,151
라마,83,174
마카,63,152
나가,98,193
차바,68,196
가마,88,140
아나,52,193
가나,79,170
자바,50,142
파사,92,144
다사,49,145
자라,94,197
하아,57,140
다나,74,199
아가,81,163
아자,52,166
파타,77,195
사라,72,166
하바,88,143
타차,75,199
타파,92,186
하나,90,187
사다,46,153
차마,61,149
아파,84,142
파하,43,188
하파,48,167
사나,82,191
마사,78,181
아차,46,195
자카,92,172
파파,92,187
나마,83,149
바아,86,172
자사,91,198
차바,65,181
라차,83,152
사카,64,197
차하,99,151
바자,58,199
바나,90,176
가바,60,176
나카,63,196
가바,96,189
타다,55,194
카파,94,190
사하,43,180
마마,94,175
라사,88,188
카가,56,148
바카,96,151
타나,93,178
타아,63,154
차하,42,188
카나,78,194
사마,71,191
라나,78,174
하자,48,155
나자,83,147
다다,95,143
자자,44,198
나라,98,158
다하,43,173
사자,57,169
사아,49,167
사가,81,177
사라,47,170
나가,51,158
아타,89,180
아아,49,174
하하,82,164
타자,46,170
타하,53,199
차사,87,170
사자,61,144
가나,47,185
다아,79,164
카하,57,174
아나,60,189
타타,40,172
자사,70,152
파차,57,149
파바,85,144
바바,54,158
가다,52,159
파사,75,146
자바,85,147
카바,88,161
자파,92,167
파사,89,186
카차,50,149
타하,47,193
하차,97,197
카바,84,164
아타,85,199
다타,86,188
라차,59,143
바타,99,182
가카,57,197
사자,40,160
자자,42,197
차파,89,174
타바,94,197
타차,88,162
다자,40,170
카하,62,144
마마,96,176
나가,64,149
차바,70,150
나바,48,198
가차,46,181
가카,68,190
가카,70,169
라파,61,154
차가,59,155
가차,68,193
자차,58,182
사바,42,195
타가,67,194
다가,72,142
마타,88,192
바사,76,144
카하,86,161
가자,68,182
하차,47,186
바자,66,159
라하,45,194
라다,83,172
가다,90,146
파타,63,190
자자,97,185
타나,53,185
하아,61,156
나나,76,170
차다,46,160
자타,62,171
타가,99,169
자사,64,169
자타,51,177
아다,71,156
자자,98,152
가차,88,183
사타,87,172
사사,49,183
마사,49,143
마자,51,154
차파,78,195
가바,42,170
바차,85,166
라카,77,199
파마,57,164
가파,78,171
마사,72,153
차마,51,157
하바,72,167
마카,73,158
바가,80,175
나라,83,180
다자,72,173
바마,77,144
가자,49,185
아타,59,163
나다,54,173
하가,72,169
다다,67,145
아다,76,171
